"date","avg_water_temp_2.0m_flat_site","avg_water_temp_9.0m_slope_site","mean_live_coral_cover_percent","lower_conf_int","upper_conf_int","conf_int_span"
1999-12-30,28.375,28.0685,22.752552,21.118489,24.473823,3.355334
2000-01-09,28.584,28.5277,22.737826,21.102998,24.460037,3.357039
2000-01-18,28.121,28.1515,22.723102,21.087525,24.446237,3.358712
2000-01-28,29.476,29.2719,22.708381,21.072072,24.432422,3.36035
2000-02-06,28.3188,28.4454,22.693666,21.056642,24.418593,3.361951
2000-02-16,28.7308,28.6142,22.678958,21.041238,24.40475,3.363512
2000-02-25,28.7817,28.989,22.664258,21.025863,24.390892,3.365029
2000-03-06,28.2035,28.1108,22.649568,21.010519,24.37702,3.366501
2000-03-15,28.0898,28.1079,22.634889,20.995211,24.363134,3.367923
2001-09-09,24.8029,24.8212,21.860422,20.253112,23.557608,3.304496
2001-09-18,24.9621,24.992,21.848234,20.242767,23.543445,3.300678
2001-09-28,25.1084,25.0417,21.836082,20.232485,23.529287,3.296802
2001-10-07,25.3962,25.4077,21.823965,20.222263,23.515136,3.292873
2001-10-17,26.2163,26.243,21.811881,20.212098,23.50099,3.288892
2001-10-26,26.4552,26.4114,21.79983,20.201989,23.486852,3.284863
2001-11-05,27.3618,27.1527,21.78781,20.191931,23.472722,3.280791
2001-11-14,27.705,27.5532,21.77582,20.181924,23.4586,3.276676
2001-11-24,27.8767,27.884,21.763858,20.171963,23.444486,3.272523
2001-12-03,28.0503,27.9567,21.751925,20.162046,23.430382,3.268336
2001-12-13,28.9381,28.8022,21.740018,20.152171,23.416287,3.264116
2001-12-22,28.89,28.7389,21.728137,20.142334,23.402203,3.259869
2002-01-01,29.8522,29.2781,21.71628,20.132534,23.38813,3.255596
2002-01-10,30.0372,29.83,21.704447,20.122768,23.374068,3.2513
2002-01-20,28.653,28.651,21.692635,20.113032,23.360018,3.246986
2002-01-29,29.2721,29.233,21.680844,20.103324,23.345981,3.242657
2002-02-08,30.451,30.4861,21.669073,20.093642,23.331958,3.238316
2002-02-17,29.0499,29.0847,21.657321,20.083983,23.317948,3.233965
2002-02-27,29.4069,29.38,21.645586,20.074344,23.303953,3.229609
2002-03-08,28.7107,28.7454,21.633868,20.064722,23.289972,3.22525
2002-03-18,28.2637,28.2718,21.622164,20.055116,23.276008,3.220892
2002-03-27,28.1581,28.111,21.610475,20.045521,23.262059,3.216538
2002-04-06,27.7453,27.8036,21.598799,20.035936,23.248128,3.212192
2002-04-15,27.2668,27.2775,21.587135,20.026358,23.234214,3.207856
2002-04-25,27.5096,27.5034,21.575482,20.016784,23.220317,3.203533
2002-05-04,26.3504,26.393,21.563838,20.007212,23.206439,3.199227
2002-05-14,26.14,26.0366,21.552203,19.997639,23.19258,3.194941
2002-05-23,26.495,26.4378,21.540575,19.988062,23.178741,3.190679
2002-06-02,25.3883,25.4115,21.528953,19.97848,23.164921,3.186441
2002-06-11,24.8949,24.9486,21.517337,19.968888,23.151122,3.182234
2002-06-21,24.2835,24.3177,21.505724,19.959286,23.137344,3.178058
2002-06-30,23.6008,23.6265,21.494115,19.949669,23.123588,3.173919
2002-07-10,23.5993,23.5255,21.482507,19.940037,23.109854,3.169817
2002-07-19,23.4006,23.4278,21.4709,19.930385,23.096142,3.165757
2002-07-29,23.9808,24.0244,21.459293,19.920713,23.082452,3.161739
2002-08-07,23.8134,23.8318,21.447684,19.911017,23.068786,3.157769
2002-08-17,23.5844,23.5228,21.436073,19.901294,23.055144,3.15385
2002-08-26,23.8851,23.9344,21.424458,19.891543,23.041526,3.149983
2002-09-05,24.5141,24.2465,21.412838,19.881761,23.027932,3.146171
2002-09-14,24.5669,24.5665,21.401212,19.871946,23.014362,3.142416
2002-09-24,25.1792,25.091,21.389579,19.862096,23.000818,3.138722
2002-10-03,24.8452,24.7868,21.377939,19.852207,22.987298,3.135091
2002-10-13,25.3077,25.2324,21.366289,19.842278,22.973805,3.131527
2002-10-22,25.6307,25.6754,21.354629,19.832307,22.960336,3.128029
2002-11-01,26.0353,25.9519,21.342957,19.822291,22.946894,3.124603
2002-11-10,26.0141,25.8967,21.331273,19.812228,22.933477,3.121249
2002-11-20,26.4138,26.4374,21.319576,19.802116,22.920087,3.117971
2002-11-29,26.8265,26.8136,21.307864,19.791953,22.906723,3.11477
2002-12-09,27.628,27.4436,21.296136,19.781737,22.893385,3.111648
2002-12-18,27.4893,27.5681,21.284392,19.771465,22.880073,3.108608
2002-12-28,28.2849,28.1367,21.27263,19.761136,22.866788,3.105652
2003-01-06,28.4248,28.4538,21.260849,19.750748,22.853528,3.10278
2003-01-16,28.2618,28.2769,21.249048,19.740298,22.840295,3.099997
2003-01-25,28.3615,28.4035,21.237225,19.729785,22.827088,3.097303
2003-02-04,28.5265,28.541,21.225381,19.719207,22.813906,3.094699
2003-02-13,29.3221,29.1526,21.213514,19.708562,22.800751,3.092189
2003-02-23,29.3252,29.386,21.201622,19.697848,22.78762,3.089772
2003-03-04,28.7885,28.7332,21.189705,19.687064,22.774515,3.087451
2003-03-14,27.9478,28.0453,21.177762,19.676207,22.761435,3.085228
2003-03-23,28.1354,28.0455,21.165791,19.665276,22.748379,3.083103
2003-04-02,28.0877,28.0029,21.153792,19.65427,22.735346,3.081076
2003-04-11,28.3693,28.3104,21.141763,19.643187,22.722338,3.079151
2003-04-21,27.4246,27.3553,21.129704,19.632025,22.709353,3.077328
2003-04-30,27.1678,27.0946,21.117613,19.620783,22.69639,3.075607
2003-05-10,26.1268,25.9987,21.105489,19.609459,22.683449,3.07399
2003-05-19,26.5156,26.4294,21.093332,19.598052,22.67053,3.072478
2003-05-29,25.5206,25.4919,21.08114,19.58656,22.657631,3.071071
2003-06-07,26.0701,26.0184,21.068912,19.574983,22.644752,3.069769
2003-06-17,24.902,24.8731,21.056647,19.563319,22.631892,3.068573
2003-06-26,24.8137,24.6653,21.044344,19.551566,22.619051,3.067485
2003-07-06,24.4222,24.4088,21.032002,19.539723,22.606228,3.066505
2003-07-15,24.0619,24.0462,21.01962,19.52779,22.593421,3.065631
2003-07-25,23.839,23.8273,21.007197,19.515766,22.580629,3.064863
2003-08-03,23.1028,23.0565,20.994732,19.503648,22.567853,3.064205
2003-08-13,24.4378,24.2362,20.982224,19.491436,22.55509,3.063654
2003-08-22,24.5588,24.5038,20.969672,19.47913,22.54234,3.06321
2003-09-01,24.5065,24.4299,20.957075,19.466728,22.529601,3.062873
2003-09-10,24.3726,24.1365,20.944432,19.45423,22.516873,3.062643
2003-09-20,25.2228,24.9771,20.931741,19.441633,22.504154,3.062521
2003-09-29,25.3215,25.1949,20.919002,19.428939,22.491442,3.062503
2003-10-09,25.9258,25.8463,20.906214,19.416146,22.478738,3.062592
2003-10-18,25.9445,25.7983,20.893376,19.403253,22.466038,3.062785
2003-10-28,26.2278,26.2215,20.880487,19.39026,22.453342,3.063082
2003-11-06,26.0823,26.0484,20.867545,19.377166,22.440648,3.063482
2003-11-16,26.4047,26.2238,20.85455,19.363971,22.427956,3.063985
2003-11-25,26.9324,26.8202,20.841501,19.350674,22.415262,3.064588
2003-12-05,27.4718,27.3108,20.828396,19.337275,22.402566,3.065291
2003-12-14,28.9485,28.1143,20.815236,19.323772,22.389867,3.066095
2003-12-24,28.6678,28.5998,20.802018,19.310167,22.377161,3.066994
2004-01-02,28.8334,28.7498,20.788741,19.296458,22.364449,3.067991
2004-01-12,30.0629,29.8852,20.775406,19.282645,22.351727,3.069082
2004-01-21,28.1057,28.0229,20.76201,19.268728,22.338995,3.070267
2004-01-31,29.6796,29.5576,20.748553,19.254707,22.32625,3.071543
2004-02-09,28.6304,28.4868,20.735034,19.240581,22.313491,3.07291
2004-02-19,28.9727,28.9643,20.721451,19.226351,22.300715,3.074364
2004-02-28,30.2319,29.6554,20.707805,19.212017,22.287921,3.075904
2004-03-09,29.4684,29.1586,20.694093,19.197577,22.275107,3.07753
2004-03-18,28.5786,28.604,20.680315,19.183033,22.262271,3.079238
2004-03-28,28.2916,28.4907,20.66647,19.168384,22.24941,3.081026
2004-04-06,27.7467,27.7493,20.652557,19.15363,22.236523,3.082893
2004-04-16,26.5997,26.5741,20.638575,19.138772,22.223607,3.084835
2004-04-25,26.5858,26.5629,20.624522,19.123809,22.210661,3.086852
2004-05-05,26.412,26.313,20.610399,19.108742,22.197682,3.08894
2004-05-15,26.0538,26.0179,20.596204,19.09357,22.184668,3.091098
2004-05-24,25.8044,25.7241,20.581937,19.078295,22.171617,3.093322
2004-06-03,25.3336,25.2109,20.567595,19.062916,22.158526,3.09561
2004-06-12,24.7052,24.6782,20.553178,19.047433,22.145394,3.097961
2004-06-22,23.4652,23.4216,20.538686,19.031847,22.132217,3.10037
2004-07-01,23.638,23.5756,20.524117,19.016158,22.118995,3.102837
2004-07-11,23.7403,23.6988,20.509471,19.000367,22.105724,3.105357
2004-07-20,23.0833,23.0203,20.494746,18.984474,22.092401,3.107927
2004-07-30,24.0795,23.7355,20.479941,18.968478,22.079026,3.110548
2004-08-08,23.9545,23.8918,20.465056,18.952382,22.065594,3.113212
2004-08-18,24.3995,24.3198,20.45009,18.936184,22.052104,3.11592
2004-08-27,24.2724,24.1617,20.435041,18.919886,22.038554,3.118668
2004-09-06,24.4305,24.358,20.41991,18.903487,22.02494,3.121453
2004-09-15,24.208,24.1682,20.404694,18.88699,22.011261,3.124271
2004-09-25,24.7224,24.3952,20.389393,18.870393,21.997514,3.127121
2004-10-04,24.9265,24.7333,20.374006,18.853697,21.983696,3.129999
2004-10-14,25.0693,25.0669,20.358533,18.836904,21.969805,3.132901
2004-10-23,26.1037,25.7967,20.342971,18.820013,21.955839,3.135826
2009-12-09,27.4755,27.493,15.40548,13.850498,17.100384,3.249886
2009-12-19,27.8472,27.7322,15.37545,13.816342,17.075637,3.259295
2009-12-28,28.7823,28.6771,15.345431,13.782128,17.050991,3.268863
2010-01-07,28.6669,28.6591,15.315423,13.747856,17.026445,3.278589
2010-01-16,28.8563,28.8856,15.285427,13.71353,17.001999,3.288469
2010-01-26,28.2538,28.2967,15.255444,13.67915,16.977654,3.298504
2010-02-04,28.9417,28.737,15.225474,13.644719,16.953408,3.308689
2010-02-14,29.3404,29.1571,15.195518,13.610239,16.929262,3.319023
2010-02-23,29.1108,29.0586,15.165578,13.575712,16.905214,3.329502
2010-03-05,29.8724,29.539,15.135653,13.541139,16.881266,3.340127
2010-03-14,28.5721,28.6207,15.105745,13.506523,16.857415,3.350892
2010-03-24,27.7325,27.7672,15.075854,13.471866,16.833663,3.361797
2010-04-02,27.2271,27.277,15.04598,13.437168,16.810007,3.372839
2010-04-12,27.6639,27.5466,15.016126,13.402434,16.786449,3.384015
2010-04-21,26.9409,26.9809,14.986291,13.367664,16.762987,3.395323
2010-05-01,26.7235,26.756,14.956476,13.33286,16.739621,3.406761
2010-05-10,26.2665,26.2423,14.926683,13.298025,16.71635,3.418325
2010-05-20,25.8461,25.8591,14.89691,13.26316,16.693174,3.430014
2010-05-29,26.8213,26.7125,14.86716,13.228268,16.670092,3.441824
2010-06-08,25.8808,25.831,14.837434,13.193351,16.647104,3.453753
2010-06-17,24.9234,24.9144,14.807731,13.158409,16.624209,3.4658
2010-06-27,24.5317,24.5238,14.778052,13.123446,16.601406,3.47796
2010-07-06,24.5712,24.5709,14.748399,13.088464,16.578696,3.490232
2010-07-16,24.5095,24.5449,14.718771,13.053464,16.556076,3.502612
2010-07-25,24.2065,24.2462,14.68917,13.018449,16.533548,3.515099
2010-08-04,24.7435,24.762,14.659596,12.98342,16.511109,3.527689
2010-08-13,24.1027,24.1192,14.630051,12.948379,16.48876,3.540381
2010-08-23,25.6098,25.4597,14.600533,12.913329,16.466499,3.55317
2010-09-01,25.0539,25.0414,14.571045,12.878271,16.444327,3.566056
2010-09-11,26.0801,26.0622,14.541587,12.843208,16.422242,3.579034
2010-09-20,26.363,26.35,14.51216,12.808141,16.400243,3.592102
2010-09-30,26.7603,26.7792,14.482764,12.773072,16.378331,3.605259
2010-10-09,26.7917,26.7536,14.453399,12.738003,16.356504,3.618501
2010-10-19,26.3096,26.3086,14.424068,12.702937,16.334761,3.631824
2010-10-28,26.4575,26.3904,14.394769,12.667874,16.313103,3.645229
2010-11-07,26.5587,26.6032,14.365505,12.632818,16.291528,3.65871
2010-11-16,27.1594,27.1137,14.336275,12.597769,16.270035,3.672266
2010-11-26,26.9993,27.0248,14.30708,12.56273,16.248625,3.685895
2010-12-05,28.435,28.2151,14.27792,12.527703,16.227295,3.699592
2010-12-15,29.3262,29.1256,14.248797,12.492689,16.206046,3.713357
2010-12-24,28.2855,28.5067,14.219712,12.457691,16.184877,3.727186
2011-01-03,28.5751,28.549,14.190663,12.42271,16.163787,3.741077
2011-01-12,29.8388,29.6117,14.161653,12.387748,16.142775,3.755027
2011-01-22,28.8163,28.8814,14.132682,12.352807,16.121841,3.769034
2011-01-31,28.534,28.4143,14.10375,12.317888,16.100985,3.783097
2011-02-10,28.1736,28.2204,14.074859,12.282994,16.080204,3.79721
2011-02-19,28.9059,28.8418,14.046008,12.248126,16.059499,3.811373
