"date","avg_water_temp_2.0m_flat_site","avg_water_temp_9.0m_slope_site","num_of_species"
2004-01-04,28.9684,28.9073,57
2004-01-05,29.3442,29.0923,69
2004-01-06,29.3606,29.2383,74
2004-01-07,29.3911,29.386,62
2004-01-08,29.4781,29.4731,47
2004-01-09,29.6925,29.6304,67
2004-01-11,30.0913,29.7979,74
2004-01-12,30.0629,29.8852,71
2004-01-13,29.8322,29.8398,59
2004-01-14,29.7019,29.6854,71
2004-01-15,29.5278,29.5556,57
2004-01-17,28.89,28.8104,70
2004-01-18,29.1011,28.652,31
2004-02-18,28.9134,28.8839,57
2004-02-20,28.9977,28.9664,40
2004-02-21,29.1928,29.1168,65
2004-02-22,29.5454,29.2903,82
2004-02-23,29.8288,29.3395,67
2004-02-24,30.0333,29.2816,43
2004-02-25,30.102,29.426,52
2004-02-26,30.1609,29.7948,40
2004-02-28,30.2319,29.6554,63
2004-02-29,29.8728,29.6159,59
2004-04-18,26.489,26.4196,65
2004-04-19,26.672,26.558,68
2004-04-20,26.7207,26.6547,69
2004-04-21,26.7064,26.6374,42
2004-04-22,26.7041,26.5805,18
2004-04-24,26.5943,26.5878,86
2004-04-28,26.5523,26.5155,76
2004-04-29,26.6045,26.5246,74
2004-04-30,26.4984,26.5043,53
2004-05-01,26.3648,26.3572,50
2004-08-23,24.4741,24.3924,79
2004-08-24,24.3289,24.2725,96
2004-08-25,24.1474,24.0619,79
2004-08-26,24.2866,24.1499,75
2004-08-27,24.2724,24.1617,85
2004-08-29,24.4612,24.1345,88
2004-08-30,24.4979,24.2229,80
2004-09-01,24.5771,24.5034,75
2010-01-04,28.5081,28.4636,62
2010-01-05,28.5687,28.5406,75
2010-01-06,28.6504,28.5866,83
2010-01-07,28.6669,28.6591,67
2010-01-08,28.7256,28.6766,52
2010-01-11,28.6436,28.616,71
2010-01-12,28.6816,28.6786,60
2010-01-13,28.7475,28.7625,52
2010-01-14,28.7109,28.7796,55
2010-01-15,28.7604,28.7915,66
2010-01-16,28.8563,28.8856,81
2010-01-17,28.9207,28.9426,68
2010-01-18,29.0936,29.0965,58
2010-01-19,28.9741,29.0264,33
2010-01-20,28.7078,28.7871,62
2010-01-21,28.5494,28.6027,41
2010-02-19,29.6621,29.6615,40
2010-02-20,29.25,29.2557,61
2010-02-21,29.2203,29.1436,63
2010-02-22,29.0292,29.0773,58
2010-02-23,29.1108,29.0586,64
2010-02-24,29.2445,29.115,61
2010-02-25,29.1905,29.1006,61
2010-02-26,28.9427,28.9874,49
2010-03-23,27.7273,27.8196,63
2010-03-24,27.7325,27.7672,74
2010-03-25,27.5989,27.6439,45
2010-03-26,27.4986,27.5741,91
2010-03-27,27.4917,27.5434,101
2010-03-28,27.4106,27.4633,72
2010-03-29,27.5069,27.5114,72
2010-03-30,27.586,27.5364,69
2010-03-31,27.4243,27.4737,84
2010-04-07,27.1652,27.1318,79
2010-04-08,27.157,27.1596,68
2010-04-09,27.2216,27.1542,76
2010-04-10,27.3206,27.2708,83
2010-04-11,27.4995,27.4078,71
2010-04-12,27.6639,27.5466,60
2010-04-13,27.6746,27.651,83
2010-04-14,27.4792,27.5535,72
2010-10-17,26.5062,26.5319,86
2010-10-18,26.345,26.3846,73
2010-10-23,26.1826,26.221,76
2010-10-24,26.2531,26.267,65
2010-10-25,26.3317,26.2879,54
2010-10-26,26.4112,26.3033,94
2010-10-27,26.4302,26.3631,81
2010-10-28,26.4575,26.3904,77
2010-10-29,26.5308,26.4448,78
2010-10-30,26.5524,26.42,76
2010-11-29,27.2877,27.2682,59
2010-11-30,27.4498,27.4162,43
2010-12-01,27.7867,27.5429,23
2010-12-02,27.8005,27.5509,49
2010-12-07,28.3575,28.3069,60
2010-12-08,28.4858,28.4093,61
2010-12-09,28.7596,28.441,68
2010-12-10,28.9481,28.7278,65
2010-12-11,29.198,29.0541,67
2010-12-12,28.9776,29.0235,53
2010-12-13,29.2862,29.0487,44
2011-01-22,28.8163,28.8814,45
2011-01-24,28.3726,28.3636,76
2011-01-25,28.6234,28.5014,35
2011-01-26,28.8128,28.6626,57
2011-01-27,28.5553,28.6161,71
2011-01-29,28.4181,28.438,66
2011-01-31,28.534,28.4143,63
2011-02-05,28.535,28.4631,62
2011-02-06,28.337,28.4302,83
2011-02-07,28.3013,28.4176,98
2011-02-08,28.3938,28.3958,44
