"date","mean_live_coral_cover_percent","lower_conf_int","upper_conf_int","conf_int_span","num_of_species"
1998-05-01,23.626796,22.016826,25.316275,3.299449,71
1998-10-10,23.418038,21.813132,25.103113,3.289981,59
1998-10-19,23.405002,21.800031,25.090223,3.290192,82
1998-11-26,23.352141,21.746536,25.038362,3.291826,65
1998-12-06,23.338755,21.732901,25.025326,3.292425,46
1999-02-01,23.257128,21.649087,24.94658,3.297493,37
1999-03-11,23.201582,21.591484,24.893628,3.302144,44
1999-04-27,23.131067,21.517831,24.826991,3.30916,75
1999-10-15,22.870253,21.242695,24.583587,3.340892,51
1999-11-22,22.811448,21.180569,24.528822,3.348253,56
1999-12-02,22.796728,21.165037,24.515095,3.350058,63
2000-01-28,22.708381,21.072072,24.432422,3.36035,54
2000-03-25,22.620223,20.979939,24.349234,3.369295,44
2000-05-02,22.56172,20.919283,24.293495,3.374212,68
2000-05-12,22.547142,20.90424,24.279527,3.375287,71
2000-09-03,22.374348,20.728686,24.110923,3.382237,37
2001-02-12,22.139999,20.501722,23.869881,3.368159,59
2001-03-31,22.074235,20.441063,23.798858,3.357795,45
2001-05-08,22.022658,20.394482,23.742051,3.347569,7
2001-07-04,21.946838,20.327503,23.656871,3.329368,88
2001-08-11,21.897212,20.28455,23.600127,3.315577,61
2001-09-18,21.848234,20.242767,23.543445,3.300678,63
2001-09-28,21.836082,20.232485,23.529287,3.296802,67
2001-11-05,21.78781,20.191931,23.472722,3.280791,61
2001-11-14,21.77582,20.181924,23.4586,3.276676,45
2002-02-17,21.657321,20.083983,23.317948,3.233965,51
2002-07-29,21.459293,19.920713,23.082452,3.161739,57
2002-09-05,21.412838,19.881761,23.027932,3.146171,48
2002-11-01,21.342957,19.822291,22.946894,3.124603,74
2003-09-01,20.957075,19.466728,22.529601,3.062873,68
2004-01-12,20.775406,19.282645,22.351727,3.069082,71
2004-02-28,20.707805,19.212017,22.287921,3.075904,63
2004-08-27,20.435041,18.919886,22.038554,3.118668,85
2004-11-21,20.295752,18.768761,21.913461,3.1447,66
2004-12-01,20.27983,18.751486,21.899167,3.147681,64
2005-03-15,20.098416,18.555356,21.735551,3.180195,46
2005-03-25,20.081331,18.536988,21.720031,3.183043,57
2005-05-02,20.011955,18.46265,21.656739,3.194089,83
2005-10-20,19.678051,18.111915,21.344313,3.232398,72
2005-11-27,19.598728,18.030564,21.267891,3.237327,66
2005-12-06,19.578592,18.010041,21.248349,3.238308,75
2006-01-04,19.517438,17.948028,21.188643,3.240615,44
2006-01-13,19.496803,17.92721,21.168375,3.241165,49
2006-05-07,19.239133,17.671716,20.910263,3.238547,75
2006-07-03,19.103254,17.540052,20.77068,3.230628,53
2006-07-13,19.080166,17.517858,20.746761,3.228903,71
2006-10-06,18.866982,17.314913,20.523642,3.208729,82
2006-10-16,18.842716,17.292007,20.498025,3.206018,68
2006-11-13,18.769255,17.222856,20.420249,3.197393,72
2006-11-23,18.74455,17.199661,20.394025,3.194364,45
2007-01-19,18.594118,17.058944,20.233743,3.174799,51
2007-03-17,18.440083,16.91551,20.068874,3.153364,55
2007-03-26,18.414078,16.891332,20.040995,3.149663,48
2007-06-01,18.229522,16.719841,19.843037,3.123196,80
2007-08-16,18.013564,16.518818,19.611792,3.092974,68
2007-11-28,17.708847,16.232998,19.287979,3.054981,69
2007-12-08,17.680742,16.206445,19.258332,3.051887,82
2008-02-03,17.510839,16.045039,19.080115,3.035076,52
2008-04-28,17.252263,15.796001,18.812785,3.016784,77
2008-05-17,17.19426,15.739495,18.753559,3.014064,67
2008-06-15,17.106922,15.653927,18.664939,3.011012,61
2008-12-03,16.575934,15.119836,18.142287,3.022451,56
2009-02-08,16.367011,14.902631,17.944942,3.042311,72
2009-03-28,16.21723,14.744356,17.806506,3.06215,44
2009-04-06,16.187231,14.712398,17.779088,3.06669,45
2009-05-05,16.097163,14.615936,17.697388,3.081452,88
2009-05-14,16.06712,14.58359,17.670343,3.086753,71
2009-10-13,15.58583,14.054099,17.250993,3.196894,84
2009-11-20,15.465567,13.918627,17.150182,3.231555,74
2009-11-30,15.435519,13.884594,17.125233,3.240639,65
2010-01-07,15.315423,13.747856,17.026445,3.278589,67
2010-01-16,15.285427,13.71353,17.001999,3.288469,81
2010-02-23,15.165578,13.575712,16.905214,3.329502,64
2010-03-24,15.075854,13.471866,16.833663,3.361797,74
2010-04-12,15.016126,13.402434,16.786449,3.384015,60
2010-10-28,14.394769,12.667874,16.313103,3.645229,77
2011-01-22,14.132682,12.352807,16.121841,3.769034,45
2011-01-31,14.10375,12.317888,16.100985,3.783097,63
2011-03-20,13.959704,12.143698,15.997831,3.854133,65
2011-05-06,13.816732,11.970336,15.896501,3.926165,9
